steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
19800965	30357	187736.93554902077	9432.0	7650.0	4042.575636618043	19480.0	6600.0	7.02830096747308	1.9407290386051237
19900709	30493	188627.36157488823	10134.0	8870.0	5058.9331330276	22740.0	5380.0	6.553341103695094	1.9142760354236914
20000688	30601	189487.00667071342	8930.0	8910.0	2919.136097470544	13640.0	5300.0	6.776975220748214	1.9345147053709388
20100529	30725	190522.96127057076	14846.0	16720.0	7008.350891773486	25800.0	4700.0	6.222507976076181	1.9291602889398791
20200979	30843	191423.2051923275	10386.0	8730.0	5233.906974930126	18100.0	4220.0	6.780054999035464	1.9084874403389023
20301006	30956	192448.1135339737	15578.0	9450.0	10321.556514832871	32420.0	6420.0	7.030792702393809	1.8968613905181977
20400119	31076	193288.83350396156	9274.0	8800.0	2506.0823787116196	14560.0	6360.0	7.333604991831262	1.8892832439912042
20500263	31200	194213.7332265377	12074.0	9090.0	6506.673838793861	24640.0	4020.0	6.313785895495478	1.9130868828021772
20600160	31313	195081.58252573013	8420.0	7040.0	3994.763238708063	16240.0	3640.0	7.002329303803524	1.872938519322637
20700500	31423	195936.23834514618	9908.0	9510.0	3234.3187501818334	14620.0	5820.0	7.717738716190853	1.8591750744675934
20801050	31530	196880.6922609806	11568.0	11510.0	4682.821561599137	19540.0	6020.0	6.371286753520753	1.8907178536899065
20901602	31628	197987.83945155144	17998.0	16690.0	6534.390730758471	27920.0	7920.0	6.618968273254318	1.8743419490167113
21001281	31729	198973.12877845764	12534.0	9140.0	6141.248877693997	25400.0	5660.0	6.375265499523545	1.8892355862682946
21100279	31835	199980.1388449669	13682.0	11470.0	7703.606370467738	27840.0	5480.0	7.303593974277269	1.8846756868362626
21200558	31937	201236.6248166561	23702.0	23050.0	7127.757633989029	32860.0	14360.0	6.921897841637699	1.910362799609153
21300509	32041	202208.88288235664	14172.0	9550.0	8554.251444619675	28100.0	6100.0	8.227858721343148	1.9215196628535092
21402021	32140	203244.0263259411	16054.0	14620.0	5777.612348059053	25360.0	8700.0	7.464925878951547	1.9272449660675468
21500373	32241	204166.51401996613	12502.0	12830.0	6567.437856576947	27400.0	3400.0	8.114992934268619	1.917718047618866
21601302	32339	205115.84648871422	11242.0	7840.0	7358.547260008444	27380.0	4140.0	8.34774647993774	1.9269423050474386
21700810	32431	206145.81080937386	15230.0	13500.0	9398.677211891752	34160.0	4660.0	7.373617861720149	1.9560176249260166
21802344	32527	207235.97102427483	17044.0	13910.0	10085.614838306421	32760.0	5340.0	6.810475603127903	1.9406463908847238
21900487	32623	208326.53137922287	17086.0	17080.0	7930.503977259789	31580.0	5540.0	7.233958486774862	1.949778442318436
22001388	32723	209492.52667546272	17638.0	14380.0	9577.415332147	30160.0	5700.0	6.267815208525848	1.9149619162496287
22100202	32824	210500.34420681	14176.0	12490.0	7143.038880227689	24780.0	6680.0	6.460482441266292	1.9240593566186952
22200555	32927	211582.35612154007	16602.0	9600.0	11227.804574161217	34260.0	6940.0	6.676965342562059	1.9348812644011302
22300148	33023	212559.6236553192	11708.0	10000.0	6946.565578279193	28460.0	4960.0	7.70828759086699	1.9269534087066025
22400010	33122	213696.08011770248	17544.0	18430.0	8971.836427894174	27600.0	5980.0	7.550755105042745	1.928698967844664
22501277	33222	214838.52701687813	19022.0	14960.0	9621.154700854662	34320.0	9480.0	7.001532440953261	1.9563268572665211
22600161	33313	216010.6057317257	19432.0	20140.0	8844.444332774985	29660.0	6860.0	6.269426714552421	1.9483846271639929
22700794	33407	217075.41374135017	17134.0	14770.0	7622.773190323264	32680.0	6980.0	7.410473233870728	1.9517569598733115
22800532	33500	217973.22773599625	10846.0	10740.0	3002.0000740247233	15060.0	6060.0	7.29421090864977	1.949718145123929
22900186	33605	218941.90485668182	12760.0	11010.0	7048.700431836905	24820.0	4600.0	7.028659125644986	1.9432507825730878
23000575	33700	219879.57635617256	12848.0	13030.0	3126.1790664572554	18820.0	8300.0	7.022294393141482	1.964753468251716
23100542	33800	220984.0700378418	18534.0	17450.0	7273.978278768778	32060.0	9440.0	6.717674542620128	1.9372003243481368
23200331	33899	221939.09353733063	11358.0	9640.0	6221.778595296436	26220.0	5380.0	7.299748417403048	1.9326758960200314
